DBA,CUISINE DESCRIPTION,VIOLATION CODE,VIOLATION DESCRIPTION,SCORE,BORO,BUILDING,STREET,ZIPCODE,Address,
IMPERIAL BIKER BAR,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,41,BROOKLYN,652,FRANKLIN AVENUE,11238,"652 FRANKLIN AVENUE, BROOKLYN, New York City, 11238",40.6761089 -73.95627300000001
TARALLUCCI E VINO,Italian,04M,Live roaches present in facility's food and/or non-food areas.,96,MANHATTAN,15,EAST 18 STREET,10003,"15 EAST 18 STREET, MANHATTAN, New York City, 10003",40.7382012 -73.99060450000002
LITTLE BROWN JUG,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,17,QUEENS,12402,JAMAICA AVENUE,11418,"12402 JAMAICA AVENUE, QUEENS, New York City, 11418",40.7006081 -73.82630159999997
V BAR,Italian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,37,MANHATTAN,132,1 AVENUE,10009,"132 1 AVENUE, MANHATTAN, New York City, 10009",40.7274071 -73.98514080000001
PATSY'S PIZZERIA,Pizza/Italian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,38,BRONX,980,MORRIS PARK AVE,10462,"980 MORRIS PARK AVE, BRONX, New York City, 10462",40.84769319999999 -73.85656849999998
MINAR INDIAN RESTAURANT,Indian,04M,Live roaches present in facility's food and/or non-food areas.,51,MANHATTAN,138,WEST   46 STREET,10036,"138 WEST   46 STREET, MANHATTAN, New York City, 10036",40.7578804 -73.98402980000003
DUNKIN' DONUTS,Caf̩/Coffee/Tea,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",47,MANHATTAN,3600,BROADWAY,10031,"3600 BROADWAY, MANHATTAN, New York City, 10031",40.8283416 -73.94857309999998
CAFE ROCHELLE,Caf̩/Coffee/Tea,04M,Live roaches present in facility's food and/or non-food areas.,52,BROOKLYN,940,MANHATTAN AVE,11222,"940 MANHATTAN AVE, BROOKLYN, New York City, 11222",40.7314029 -73.9541893
CHILLI,Indian,04M,Live roaches present in facility's food and/or non-food areas.,50,QUEENS,3756,74TH ST,11372,"3756 74TH ST, QUEENS, New York City, 11372",40.74742010000001 -73.8919181
FALAFEL OFF THE CORNER,Jewish/Kosher,04M,Live roaches present in facility's food and/or non-food areas.,43,BROOKLYN,1675,E 2ND ST,11223,"1675 E 2ND ST, BROOKLYN, New York City, 11223",40.6086369 -73.97168269999997
HOY WONG RESTAURANT,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,68,MANHATTAN,81,MOTT STREET,10013,"81 MOTT STREET, MANHATTAN, New York City, 10013",40.71659289999999 -73.99809820000002
EL NUEVO TENAMPA RESTAURANTE,Mexican,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,66,BRONX,2765,WEBSTER AVE,10458,"2765 WEBSTER AVE, BRONX, New York City, 10458",40.8659677 -73.886484
MR. DENNEHY'S,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,47,MANHATTAN,63,CARMINE STREET,10014,"63 CARMINE STREET, MANHATTAN, New York City, 10014",40.7298854 -74.00458789999999
KABAYAN FILIPINO RESTAURANT,Filipino,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",77,QUEENS,6912,ROOSEVELT AVE,11377,"6912 ROOSEVELT AVE, QUEENS, New York City, 11377",40.7461934 -73.89572420000002
KAIFUEM RESTAURANT CAFE & LOUNGE,Seafood,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",103,BROOKLYN,3100,OCEAN PARKWAY,11235,"3100 OCEAN PARKWAY, BROOKLYN, New York City, 11235",40.5761426 -73.96934970000001
BROADWAY CHINESE SEAFOOD,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,68,QUEENS,8317,BROADWAY,11373,"8317 BROADWAY, QUEENS, New York City, 11373",40.740937 -73.87931779999997
Abou Bakery,Bakery,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40,QUEENS,21023,JAMAICA AVE,11428,"21023 JAMAICA AVE, QUEENS, New York City, 11428",40.71532879999999 -73.74970009999998
HEALTHY ME ORGANIC JUICE LAB,"Juice, Smoothies, Fruit Salads",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",52,QUEENS,3008,37TH ST,11103,"3008 37TH ST, QUEENS, New York City, 11103",40.7644407 -73.91688820000002
PARRILLA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,57,MANHATTAN,3920,BROADWAY,10032,"3920 BROADWAY, MANHATTAN, New York City, 10032",40.8384568 -73.9410575
AMSTERDAM TAVERN,American,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,57,MANHATTAN,938,AMSTERDAM AVENUE,10025,"938 AMSTERDAM AVENUE, MANHATTAN, New York City, 10025",40.8007885 -73.96586339999999
ALFREDO'S PIZZA,Pizza/Italian,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",49,QUEENS,16301,29TH AVE,11358,"16301 29TH AVE, QUEENS, New York City, 11358",40.771338 -73.80122599999999
Relish Caterers,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",40,BRONX,2501,3RD AVE,10451,"2501 3RD AVE, BRONX, New York City, 10451",40.8103408 -73.92875600000002
MAX BAKERY & RESTAURANT,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,53,QUEENS,3763,90 STREET,11372,"3763 90 STREET, QUEENS, New York City, 11372",40.7544755 -73.87758989999998
TOFU TOFU,Korean,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",46,MANHATTAN,96,BOWERY,10013,"96 BOWERY, MANHATTAN, New York City, 10013",40.7176645 -73.99555909999998
PUERTA DEL SOL RESTAURANT,Spanish,04M,Live roaches present in facility's food and/or non-food areas.,50,BROOKLYN,1550,BAY RIDGE AVE,11219,"1550 BAY RIDGE AVE, BROOKLYN, New York City, 11219",40.6201435 -73.9983264
MONTEZUMA RESTAURANT,Mexican,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,22,BRONX,119,WEST KINGSBRIDGE ROAD,10468,"119 WEST KINGSBRIDGE ROAD, BRONX, New York City, 10468",40.8688235 -73.90198350000003
MOMOTARO JAPANESE,Japanese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,46,BROOKLYN,6916,18TH AVE,11204,"6916 18TH AVE, BROOKLYN, New York City, 11204",40.6165853 -73.99304799999999
PANDA KING KITCHEN,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,36,QUEENS,14911,41ST AVE,11355,"14911 41ST AVE, QUEENS, New York City, 11355",40.76236919999999 -73.8154877
SOLDIERS CARIBBEAN BUFFET RESTAURANT,Caribbean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,35,BROOKLYN,1439,ST JOHNS PLACE,11213,"1439 ST JOHNS PLACE, BROOKLYN, New York City, 11213",40.6707942 -73.93048090000002
New Bay Restaurant,Chinese,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",105,BROOKLYN,2210,86TH ST,11214,"2210 86TH ST, BROOKLYN, New York City, 11214",40.6015323 -73.99366429999998
CROWN FRIED CHICKEN & PIZZA,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,68,BROOKLYN,580,ALBANY AVENUE,11203,"580 ALBANY AVENUE, BROOKLYN, New York City, 11203",40.6604366 -73.94009349999999
I LOVE PIZZA,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,BRONX,3075,3RD AVE,10451,"3075 3RD AVE, BRONX, New York City, 10451",40.82104820000001 -73.91277880000001
LEGEND UPPER WEST,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",50,MANHATTAN,258,WEST  109 STREET,10025,"258 WEST  109 STREET, MANHATTAN, New York City, 10025",40.8032671 -73.966815
PEKING EXPRESS,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,48,BROOKLYN,237,NASSAU AVE,11222,"237 NASSAU AVE, BROOKLYN, New York City, 11222",40.7259472 -73.94285479999996
BLUE BOTTLE COFFEE,Caf̩/Coffee/Tea,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,38,BROOKLYN,160,BERRY ST,11249,"160 BERRY ST, BROOKLYN, New York City, 11249",40.71742649999999 -73.96066209999998
KENNEDY FRIED CHICKEN,Chicken,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",75,BROOKLYN,1032,NOSTRAND AVE,11225,"1032 NOSTRAND AVE, BROOKLYN, New York City, 11225",40.6633634 -73.95111320000001
CITY CRAB SHACK,Seafood,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",66,MANHATTAN,10,EAST   16 STREET,10003,"10 EAST   16 STREET, MANHATTAN, New York City, 10003",40.7368256 -73.99204900000001
Sally's,Caribbean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,51,BROOKLYN,1570,RALPH AVE,11236,"1570 RALPH AVE, BROOKLYN, New York City, 11236",40.6387772 -73.9195767
DE LA VEGA RESTAURANT,Spanish,04M,Live roaches present in facility's food and/or non-food areas.,48,BROOKLYN,472,LORIMER STREET,11206,"472 LORIMER STREET, BROOKLYN, New York City, 11206",40.7108449 -73.94872780000003
STAR LITE DELI,Delicatessen,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10,MANHATTAN,212,WEST   44 STREET,10036,"212 WEST   44 STREET, MANHATTAN, New York City, 10036",40.7575534 -73.98694999999998
MAMA'S FRIED CHICKEN,Chicken,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,65,MANHATTAN,2158,8 AVENUE,10026,"2158 8 AVENUE, MANHATTAN, New York City, 10026",40.8046486 -73.9549467
PELHAM DELITE,Bakery,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",45,BRONX,1650,CROSBY AVE,10461,"1650 CROSBY AVE, BRONX, New York City, 10461",40.8451905 -73.83086420000001
HUNAN CHINESE RESTAURANT,Chinese,04B,"Food worker prepares food or handles utensil when ill with a disease transmissible by food, or have exposed infected cut or burn on hand.",55,QUEENS,2414,34 AVENUE,11106,"2414 34 AVENUE, QUEENS, New York City, 11106",40.7613426 -73.93128810000002
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Caribbean,04M,Live roaches present in facility's food and/or non-food areas.,36,BROOKLYN,568,FLATBUSH AVENUE,11225,"568 FLATBUSH AVENUE, BROOKLYN, New York City, 11225",40.6597955 -73.96086809999997
KAM'S KITCHEN,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,46,QUEENS,21709,LINDEN BLVD,11411,"21709 LINDEN BLVD, QUEENS, New York City, 11411",40.6960341 -73.74233759999998
TOFU TOFU,Korean,04M,Live roaches present in facility's food and/or non-food areas.,46,MANHATTAN,96,BOWERY,10013,"96 BOWERY, MANHATTAN, New York City, 10013",40.7176645 -73.99555909999998
VILLA TAPIA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",35,BRONX,245,BROOK AVENUE,10454,"245 BROOK AVENUE, BRONX, New York City, 10454",40.8081304 -73.91907459999999
STADIUM PIZZA BAR RESTAURANT,American,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,33,BRONX,113115,EAST  157 STREET,10451,"113115 EAST  157 STREET, BRONX, New York City, 10451",40.8214274 -73.91437539999998
CHO-SEN GARDEN,Jewish/Kosher,04M,Live roaches present in facility's food and/or non-food areas.,60,QUEENS,6443,108 STREET,11375,"6443 108 STREET, QUEENS, New York City, 11375",40.7319578 -73.84872849999999
EL TAPATIO MEXICAN RESTAURANT,Mexican,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",89,MANHATTAN,209,EAST  116 STREET,10029,"209 EAST  116 STREET, MANHATTAN, New York City, 10029",40.7978891 -73.9391913
LA ROSA BAKERY,Bakery,04M,Live roaches present in facility's food and/or non-food areas.,50,BRONX,155B,EAST  170 STREET,10452,"155B EAST  170 STREET, BRONX, New York City, 10452",40.8392916 -73.91473329999997
LA PINELA,Italian,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",73,STATEN ISLAND,163,DONGAN ST,10310,"163 DONGAN ST, STATEN ISLAND, New York City, 10310",40.633734 -74.12395750000002
MANGANARO'S HERO BOY,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,16,MANHATTAN,494,9TH AVE,10018,"494 9TH AVE, MANHATTAN, New York City, 10018",40.755521 -73.99445579999997
THE ASTORIA WORLD MANOR,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,13,QUEENS,2522,_ASTORIA BOULEVARD,11102,"2522 _ASTORIA BOULEVARD, QUEENS, New York City, 11102",40.7708731 -73.9223341
CAFE VOLNA,Russian,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,BROOKLYN,3145,BRIGHTON    4 STREET,11235,"3145 BRIGHTON    4 STREET, BROOKLYN, New York City, 11235",40.5753902 -73.96267319999998
VAQUEROS,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",91,BROOKLYN,1541,MYRTLE AVENUE,11237,"1541 MYRTLE AVENUE, BROOKLYN, New York City, 11237",40.6994395 -73.91381100000001
ALMASRY RESTAURANT,Middle Eastern,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,71,BROOKLYN,1178,FULTON STREET,11216,"1178 FULTON STREET, BROOKLYN, New York City, 11216",40.6805351 -73.95397070000001
MIKES DELI,American,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",48,BROOKLYN,9510,4TH AVE,11209,"9510 4TH AVE, BROOKLYN, New York City, 11209",40.6158316 -74.03150579999999
HE LIN RESTAURANT,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",56,QUEENS,8311,BROADWAY,11373,"8311 BROADWAY, QUEENS, New York City, 11373",40.7410275 -73.8794014
